Date,Unconditional,Regime-Filtered
1995-12-15,100000.0,100000.0
1995-12-18,100000.0,100000.0
1995-12-19,100000.0,100000.0
1995-12-20,100000.0,100000.0
1995-12-21,100000.0,100000.0
1995-12-22,100000.0,100000.0
1995-12-26,100000.0,100000.0
1995-12-27,100000.0,100000.0
1995-12-28,100000.0,100000.0
1995-12-29,100000.0,100000.0
1996-01-02,100000.0,100000.0
1996-01-03,100000.0,100000.0
1996-01-04,100000.0,100000.0
1996-01-05,100000.0,100000.0
1996-01-08,100000.0,100000.0
1996-01-09,100000.0,100000.0
1996-01-10,100000.0,100000.0
1996-01-11,100000.0,100000.0
1996-01-12,100000.0,100000.0
1996-01-15,100000.0,100000.0
1996-01-16,100000.0,100000.0
1996-01-17,100000.0,100000.0
1996-01-18,100000.0,100000.0
1996-01-19,100000.0,100000.0
1996-01-22,100000.0,100000.0
1996-01-23,100000.0,100000.0
1996-01-24,100000.0,100000.0
1996-01-25,100000.0,100000.0
1996-01-26,100000.0,100000.0
1996-01-29,100000.0,100000.0
1996-01-30,100000.0,100000.0
1996-01-31,100000.0,100000.0
1996-02-01,100000.0,100000.0
1996-02-02,100000.0,100000.0
1996-02-05,100000.0,100000.0
1996-02-06,100000.0,100000.0
1996-02-07,100000.0,100000.0
1996-02-08,100000.0,100000.0
1996-02-09,100000.0,100000.0
1996-02-12,100000.0,100000.0
1996-02-13,100000.0,100000.0
1996-02-14,100000.0,100000.0
1996-02-15,100000.0,100000.0
1996-02-16,100000.0,100000.0
1996-02-20,100000.0,100000.0
1996-02-21,100000.0,100000.0
1996-02-22,100000.0,100000.0
1996-02-23,100000.0,100000.0
1996-02-26,100000.0,100000.0
1996-02-27,100000.0,100000.0
1996-02-28,100000.0,100000.0
1996-02-29,100000.0,100000.0
1996-03-01,100000.0,100000.0
1996-03-04,100000.0,100000.0
1996-03-05,100000.0,100000.0
1996-03-06,100000.0,100000.0
1996-03-07,100000.0,100000.0
1996-03-08,100000.0,100000.0
1996-03-11,100000.0,100000.0
1996-03-12,100000.0,100000.0
1996-03-13,100000.0,100000.0
1996-03-14,100000.0,100000.0
1996-03-15,100000.0,100000.0
1996-03-18,100000.0,100000.0
1996-03-19,100000.0,100000.0
1996-03-20,100000.0,100000.0
1996-03-21,100000.0,100000.0
1996-03-22,100000.0,100000.0
1996-03-25,100000.0,100000.0
1996-03-26,100000.0,100000.0
1996-03-27,100000.0,100000.0
1996-03-28,100000.0,100000.0
1996-03-29,100000.0,100000.0
1996-04-01,100000.0,100000.0
1996-04-02,100000.0,100000.0
1996-04-03,100000.0,100000.0
1996-04-04,100000.0,100000.0
1996-04-08,100000.0,100000.0
1996-04-09,100000.0,100000.0
1996-04-10,100000.0,100000.0
1996-04-11,100000.0,100000.0
1996-04-12,100000.0,100000.0
1996-04-15,100000.0,100000.0
1996-04-16,100000.0,100000.0
1996-04-17,100000.0,100000.0
1996-04-18,100000.0,100000.0
1996-04-19,100000.0,100000.0
1996-04-22,100000.0,100000.0
1996-04-23,100000.0,100000.0
1996-04-24,100000.0,100000.0
1996-04-25,100000.0,100000.0
1996-04-26,100000.0,100000.0
1996-04-29,100000.0,100000.0
1996-04-30,100000.0,100000.0
1996-05-01,100000.0,100000.0
1996-05-02,100000.0,100000.0
1996-05-03,100000.0,100000.0
1996-05-06,100000.0,100000.0
1996-05-07,100000.0,100000.0
1996-05-08,100000.0,100000.0
1996-05-09,100000.0,100000.0
1996-05-10,100000.0,100000.0
1996-05-13,100000.0,100000.0
1996-05-14,100000.0,100000.0
1996-05-15,100000.0,100000.0
1996-05-16,100000.0,100000.0
1996-05-17,100000.0,100000.0
1996-05-20,100000.0,100000.0
1996-05-21,100000.0,100000.0
1996-05-22,100000.0,100000.0
1996-05-23,100000.0,100000.0
1996-05-24,100000.0,100000.0
1996-05-28,100000.0,100000.0
1996-05-29,100000.0,100000.0
1996-05-30,100000.0,100000.0
1996-05-31,100000.0,100000.0
1996-06-03,100000.0,100000.0
1996-06-04,100000.0,100000.0
1996-06-05,100000.0,100000.0
1996-06-06,100000.0,100000.0
1996-06-07,100000.0,100000.0
1996-06-10,100000.0,100000.0
1996-06-11,100000.0,100000.0
1996-06-12,100000.0,100000.0
1996-06-13,100000.0,100000.0
1996-06-14,100000.0,100000.0
1996-06-17,100000.0,100000.0
1996-06-18,100000.0,100000.0
1996-06-19,100000.0,100000.0
1996-06-20,100000.0,100000.0
1996-06-21,100000.0,100000.0
1996-06-24,100000.0,100000.0
1996-06-25,100000.0,100000.0
1996-06-26,100000.0,100000.0
